class,error,class1,error1,class2,error2,final_class,final_error
background,0,background,0,background,0,background,0
"tench, Tinca tinca",1,tench,0,tench,0,tench,0
"goldfish, Carassius auratus",1,goldfish,0,goldfish,0,goldfish,0
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",1,great white shark,1,shark,0,shark,0
"tiger shark, Galeocerdo cuvieri",1,tiger shark,1,shark,0,shark,0
"hammerhead, hammerhead shark",1,hammerhead,0,hammerhead,0,hammerhead,0
"electric ray, crampfish, numbfish, torpedo",1,electric ray,1,ray,0,ray,0
stingray,0,stingray,0,stingray,0,stingray,0
cock,0,cock,0,cock,0,cock,0
hen,0,hen,0,hen,0,hen,0
"ostrich, Struthio camelus",1,ostrich,0,ostrich,0,ostrich,0
"brambling, Fringilla montifringilla",1,brambling,1,brambling,1,bird,0
"goldfinch, Carduelis carduelis",1,goldfinch,0,goldfinch,0,goldfinch,0
"house finch, linnet, Carpodacus mexicanus",1,house finch,1,finch,0,finch,0
"junco, snowbird",1,junco,0,junco,0,junco,0
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",1,indigo bunting,1,bunting,0,finch,0
"robin, American robin, Turdus migratorius",1,robin,0,robin,0,robin,0
bulbul,0,bulbul,0,bulbul,0,bulbul,0
jay,0,jay,0,jay,0,jay,0
magpie,0,magpie,0,magpie,0,magpie,0
chickadee,0,chickadee,0,chickadee,0,chickadee,0
"water ouzel, dipper",1,water ouzel,1,ouzel,1,bird,0
kite,0,kite,0,kite,0,kite,0
"bald eagle, American eagle, Haliaeetus leucocephalus",1,bald eagle,1,eagle,0,eagle,0
vulture,0,vulture,0,vulture,0,vulture,0
"great grey owl, great gray owl, Strix nebulosa",1,great grey owl,1,owl,0,owl,0
"European fire salamander, Salamandra salamandra",1,European fire salamander,1,salamander,0,salamander,0
"common newt, Triturus vulgaris",1,common newt,1,newt,0,newt,0
eft,0,eft,0,eft,0,eft,0
"spotted salamander, Ambystoma maculatum",1,spotted salamander,1,salamander,0,salamander,0
"axolotl, mud puppy, Ambystoma mexicanum",1,axolotl,0,axolotl,0,axolotl,0
"bullfrog, Rana catesbeiana",1,bullfrog,0,bullfrog,0,bullfrog,0
"tree frog, tree-frog",1,tree frog,1,frog,0,frog,0
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,tailed frog,1,frog,0,frog,0
"loggerhead, loggerhead turtle, Caretta caretta",1,loggerhead,0,loggerhead,0,loggerhead,0
"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",1,leatherback turtle,1,turtle,0,turtle,0
mud turtle,1,mud turtle,1,turtle,0,turtle,0
terrapin,0,terrapin,0,terrapin,0,terrapin,0
"box turtle, box tortoise",1,box turtle,1,turtle,0,turtle,0
banded gecko,1,banded gecko,1,gecko,0,gecko,0
"common iguana, iguana, Iguana iguana",1,common iguana,1,iguana,0,iguana,0
"American chameleon, anole, Anolis carolinensis",1,American chameleon,1,chameleon,0,chameleon,0
